Student_ID,Full_Name,Gender,Date_of_Birth,Age,Region_State,Urban_or_Rural,Language_Proficiency,class,Attendance_Consistency,Date,Hours_per_Week,Parent_ID,Monthly_Income,Subject,Score,Grade,Teacher_Comments,Exam_Type,Library_Access,Teacher_Hours_Assigned,Study_Materials_Availability,Electricity_Access,Teacher_ID,Name,Subject_Taught,Years_of_Experience,Teacher_Student_Ratio,Parents_Education_Level_Primary,Parents_Education_Level_Secondary,Parents_Education_Level_University,Father_Occupation_Civil Servant,Father_Occupation_Engineer,Father_Occupation_Farmer,Father_Occupation_Trader,Mother_Occupation_Civil Servant,Mother_Occupation_Housewife,Mother_Occupation_Teacher,Mother_Occupation_Trader,Parental_Support_High,Parental_Support_Low,Parental_Support_Moderate,Activity_Name_Debate,Activity_Name_Drama,Activity_Name_Football,Activity_Name_Music,Role_Leader,Role_Member,Impact_on_Academics_Negative,Impact_on_Academics_Neutral,Impact_on_Academics_Positive,Qualification_BSc,Qualification_MSc,Qualification_NCE,Status_Absent,Status_Present,Reason_for_Absence_Family Responsibility,Reason_for_Absence_Financial,Reason_for_Absence_Illness
S11,Aisha Yusuf,Female,10/07/2000,18,Yobe,Urban,True,SS3,Irregular,21/04/2021,2,P11,134332,Physics,66,B,Satisfactory,Mock exam ,False,15.0,False,False,T11,Abdul Yusuf,English,6,13,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
S12,Chinedu Ahmed,Male,27/04/2001,18,Yobe,Urban,True,SS3,Irregular,22/04/2021,4,P12,106212,English,90,A,Excellent,School Exam ,False,13.0,True,True,T12,Aisha Ibrahim,Biology,3,31,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S13,Fatima Ogunleye,Female,03/06/2002,17,Rivers,Urban,True,SS2,Regular,23/04/2021,5,P13,80375,Physics,77,A,Excellent,Mock exam ,False,19.0,False,False,T13,Aisha Okafor,Mathematics,8,26,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
S14,Grace Ibrahim,Male,19/04/2003,15,Borno,Rural,False,SS2,Regular,24/04/2021,5,P14,40450,Biology,71,A,Excellent,School Exam ,False,18.0,True,True,T14,Fatima Ogunleye,Physics,5,40,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
S15,Emeka Chukwuma,Male,09/03/2004,15,Lagos,Urban,True,SS2,Regular,25/04/2021,4,P15,86191,English,88,A,Excellent,Mock exam ,True,17.0,False,False,T15,Ngozi Yusuf,Physics,7,33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S16,Fatima Ogunleye,Female,23/02/2005,16,Abuja,Rural,False,SS2,Regular,26/04/2021,4,P16,61672,Physics,87,A,Excellent,School Exam ,True,24.0,True,False,T16,Fatima Danladi,Biology,9,16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
S17,Aisha Ibrahim,Female,02/05/2006,15,Lagos,Urban,False,SS2,Irregular,27/04/2021,3,P17,49288,Biology,50,C,Satisfactory,Mock exam ,True,19.0,False,False,T17,Fatima Danladi,Biology,9,37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
S18,Femi Idowu,Male,01/01/2007,18,Kano,Urban,False,SS3,Irregular,28/04/2021,3,P18,139351,Mathematics,55,C,Satisfactory,School Exam ,True,15.0,False,False,T18,Ngozi Danladi,English,4,14,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
S19,Grace Yusuf,Male,05/02/2008,17,Rivers,Rural,True,SS3,Irregular,29/04/2021,2,P19,165838,English,40,E,Needs Improvement,Mock exam ,False,17.0,False,False,T19,Tunde Ahmed,English,4,33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S20,Emeka Ahmed,Female,26/01/2009,16,Rivers,Urban,False,SS3,Irregular,30/04/2021,5,P20,81366,Mathematics,86,A,Excellent,School Exam ,True,13.0,True,False,T20,Grace Yusuf,Physics,5,37,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S21,Abdul Ogunleye,Male,10/07/2000,16,Abuja,Urban,True,SS3,Irregular,01/05/2021,3,P21,141976,English,67,B,Satisfactory,Mock exam ,True,17.0,False,False,T21,Ngozi Chukwuma,English,9,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
S22,Aisha Danladi,Male,27/04/2001,15,Kano,Rural,False,SS2,Regular,02/05/2021,4,P22,152978,Biology,57,C,Satisfactory,School Exam ,True,25.0,True,False,T22,Aisha Ogunleye,English,5,28,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
S23,Tunde Chukwuma,Female,03/06/2002,16,Kaduna,Rural,True,SS3,Irregular,03/05/2021,2,P23,93237,English,42,E,Needs Improvement,Mock exam ,False,14.0,True,False,T23,Femi Adewale,English,2,26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S24,Chinedu Ahmed,Female,19/04/2003,15,Rivers,Rural,True,SS2,Irregular,04/05/2021,2,P24,186861,Mathematics,43,E,Satisfactory,School Exam ,True,13.0,False,True,T24,Femi Ahmed,Biology,8,20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S25,Efe Ahmed,Female,09/03/2004,17,Delta,Urban,False,SS3,Irregular,05/05/2021,3,P25,104636,English,50,C,Satisfactory,Mock exam ,True,21.0,False,True,T25,Emeka Okafor,Biology,5,23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
S26,Chinedu Idowu,Male,23/02/2005,17,Ogun,Urban,False,SS3,Regular,06/05/2021,3,P26,174404,Mathematics,93,A,Excellent,School Exam ,False,16.0,True,True,T26,Aisha Adewale,Physics,9,29,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
S27,Ngozi Ahmed,Male,02/05/2006,16,Kaduna,Urban,True,SS2,Irregular,07/05/2021,2,P27,142602,English,64,B,Satisfactory,Mock exam ,True,16.0,True,True,T27,Grace Okafor,Biology,8,31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S28,Fatima Adewale,Female,01/01/2007,17,Rivers,Rural,False,SS3,Regular,08/05/2021,4,P28,130025,English,79,A,Excellent,School Exam ,True,18.0,False,True,T28,Aisha Adewale,Biology,8,14,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S29,Ngozi Ogunleye,Male,05/02/2008,15,Borno,Rural,False,SS1,Irregular,09/05/2021,2,P29,78894,Physics,71,A,Excellent,Mock exam ,True,16.0,False,False,T29,Ngozi Ibrahim,Physics,6,13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
S30,Efe Idowu,Male,26/01/2009,16,Rivers,Urban,False,SS3,Regular,10/05/2021,3,P30,111018,Mathematics,58,C,Satisfactory,School Exam ,False,24.0,True,False,T30,Tunde Adewale,English,3,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
S31,isehunwa pius taiwo,Male,10/07/2000,16,Abuja,Rural,True,SS3,Irregular,11/05/2021,3,P31,118746,Physics,44,E,Needs Improvement,Mock exam ,False,17.3,False,False,T31,adeniyi femi ajiniyi,Biology,7,23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S32,micheal olorusaiye,Male,27/04/2001,16,Ekiti,Rural,True,SS2,Regular,12/05/2021,3,P32,118897,English,58,C,Satisfactory,School Exam ,False,17.3,False,False,T32,akindele dare,English,2,23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
S33,John Esther,Female,03/06/2002,16,Kaduna,Rural,True,SS3,Irregular,13/05/2021,3,P33,119048,Mathematics,58,C,Satisfactory,Mock exam ,False,17.3,False,False,T33,eniolorunda kazeem,Mathematics,3,23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S34,mathew olorunsaiye,Male,19/04/2003,16,Kaduna,Urban,True,SS3,Irregular,14/05/2021,3,P34,119199,English,57,C,Satisfactory,School Exam ,False,17.3,False,False,T34,toluhi olorunmola,Physics,4,23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S35,moses joyce,Female,09/03/2004,16,Borno,Rural,False,SS1,Irregular,15/05/2021,2,P35,119350,Mathematics,56,C,Satisfactory,Mock exam ,False,17.3,False,False,T35,obasiyan busayo racheal,English,4,23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S36,anthony megida,Female,23/02/2005,16,Kano,Urban,False,SS2,Irregular,16/05/2021,2,P36,119501,English,56,C,Satisfactory,School Exam ,False,17.3,False,False,T36,lawal folashade grace,Biology,7,23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
S37,umar hannah joy,Female,02/05/2006,16,Lagos,Urban,True,SS3,Irregular,17/05/2021,2,P37,119652,Physics,22,F,Needs Improvement,Mock exam ,False,17.3,False,False,T37,lawal faith oluwatosin,Biology,3,23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S38,samuel stephen ige,Male,01/01/2007,16,Kaduna,Urban,True,SS2,Irregular,18/05/2021,2,P38,119803,Biology,54,C,Satisfactory,School Exam ,False,17.3,False,False,T38,yusuf remilekun saka,Biology,2,22,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
S39,arokoyo ojo emmanuel ,Male,05/02/2008,16,Lagos,Rural,True,SS2,Irregular,19/05/2021,2,P39,119954,Mathematics,12,F,Needs Improvement,Mock exam ,False,17.3,False,False,T39,dauda elizabeth,Physics,7,22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S40,omotosho .m. kayode,Male,26/01/2009,16,Rivers,Rural,True,SS3,Regular,20/05/2021,2,P40,120105,Physics,53,C,Satisfactory,School Exam ,False,17.3,False,False,T40,stehpen adebola,English,2,22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S41,Ojo joy,Female,10/07/2000,16,Yobe,Urban,True,SS3,Irregular,21/05/2021,2,P41,120256,English,17,F,Needs Improvement,Mock exam ,False,17.3,False,False,T41,adadu ibrahim likisa,English,2,22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
S42,olorungbemi amos adekunle,Male,27/04/2001,15,Yobe,Urban,True,SS2,Irregular,22/05/2021,2,P42,120407,Physics,52,C,Satisfactory,School Exam ,False,17.3,False,False,T42,alege omotayo abimbola,Biology,2,22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S43,omotosho seun omonale,Female,03/06/2002,15,Rivers,Urban,True,SS2,Regular,23/05/2021,2,P43,120558,Biology,18,F,Needs Improvement,Mock exam ,False,17.3,False,False,T43,ayanda bukola funmilayo,Mathematics,2,22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
S44,francis o. omotosho,Male,19/04/2003,15,Borno,Rural,False,SS2,Regular,24/05/2021,2,P44,120709,English,51,C,Satisfactory,School Exam ,False,17.3,False,False,T44,dare niyi,Physics,3,22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
S45,okuta emmanuel kayode,Male,09/03/2004,15,Lagos,Urban,True,SS2,Regular,25/05/2021,2,P45,120860,Physics,50,C,Satisfactory,Mock exam ,False,17.3,False,False,T45,folorunsho  kikelomo,Physics,4,21,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S46,eniolorunda susan mulikat ,Male,23/02/2005,15,Abuja,Rural,False,SS2,Regular,26/05/2021,2,P46,121011,Biology,49,C,Satisfactory,School Exam ,False,17.3,False,False,T46,olusaiye micheal ,Biology,4,21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
S47,toluhi sayo,Female,02/05/2006,15,Lagos,Urban,False,SS3,Irregular,27/05/2021,2,P47,121162,Mathematics,49,D,Needs Improvement,Mock exam ,False,17.3,False,False,T47,ajiboge  bosede,Biology,3,21,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
S48,francis s emmanuel,Male,01/01/2007,15,Kano,Urban,False,SS3,Irregular,28/05/2021,2,P48,121313,English,48,D,Needs Improvement,School Exam ,False,17.3,False,False,T48,jaiyeola  shade,English,4,21,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
S49,ahmed eniolorunda,Male,05/02/2008,15,Rivers,Rural,True,SS3,Irregular,29/05/2021,2,P49,121464,Mathematics,47,D,Needs Improvement,Mock exam ,False,17.3,False,False,T49,olusaiye rebecca,English,5,21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S50,isehunwa j. sunday,Male,26/01/2009,15,Rivers,Urban,False,SS3,Irregular,30/05/2021,2,P50,121615,Biology,55,C,Satisfactory,School Exam ,False,17.3,False,False,T50,baki  hannah,Physics,6,21,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
