Student_ID,Full_Name,Gender,Date_of_Birth,Age,Region_State,Urban_or_Rural,Language_Proficiency,class,Attendance_Consistency,Date,Status,Reason_for_Absence,Activity_Name,Role,Hours_per_Week,Impact_on_Academics,Parent_ID,Parents_Education_Level,Father_Occupation,Mother_Occupation,Monthly_Income,Parental_Support,Subject,Score,Grade,Teacher_Comments,Exam_Type,Library_Access,Teacher_Hours_Assigned,Study_Materials_Availability,Electricity_Access,Teacher_ID,Name,Subject_Taught,Years_of_Experience,Qualification,Teacher_Student_Ratio
S19,Grace Yusuf,Male,05/02/2008,17,Rivers,Rural,True,SS3,Irregular,29/04/2021,Present,Illness,Football,Member,2,Positive,P19,Primary,Engineer,Teacher,165838,Low,English,40,E,Needs Improvement,Mock exam ,False,17.0,False,False,T19,Tunde Ahmed,English,4,BSc,33
S20,Emeka Ahmed,Female,26/01/2009,16,Rivers,Urban,False,SS3,Irregular,30/04/2021,Absent,,Music,Leader,5,Negative,P20,Primary,Civil Servant,Teacher,81366,High,Mathematics,86,A,Excellent,School Exam ,True,13.0,True,False,T20,Grace Yusuf,Physics,5,BSc,37
S21,Abdul Ogunleye,Male,10/07/2000,16,Abuja,Urban,True,SS3,Irregular,01/05/2021,Present,Illness,Football,Leader,3,Neutral,P21,,Farmer,Teacher,141976,Low,English,67,B,Satisfactory,Mock exam ,True,17.0,False,False,T21,Ngozi Chukwuma,English,9,NCE,11
S22,Aisha Danladi,Male,27/04/2001,15,Kano,Rural,False,SS2,Regular,02/05/2021,Present,Financial,Football,Leader,4,Neutral,P22,,Engineer,Civil Servant,152978,High,Biology,57,C,Satisfactory,School Exam ,True,25.0,True,False,T22,Aisha Ogunleye,English,5,MSc,28
S23,Tunde Chukwuma,Female,03/06/2002,16,Kaduna,Rural,True,SS3,Irregular,03/05/2021,Absent,Family Responsibility,Music,Leader,2,Neutral,P23,University,Engineer,Housewife,93237,Low,English,42,E,Needs Improvement,Mock exam ,False,14.0,True,False,T23,Femi Adewale,English,2,BSc,26
S24,Chinedu Ahmed,Female,19/04/2003,15,Rivers,Rural,True,SS2,Irregular,04/05/2021,Present,Family Responsibility,Music,Member,2,Neutral,P24,,Civil Servant,Civil Servant,186861,Moderate,Mathematics,43,E,Satisfactory,School Exam ,True,13.0,False,True,T24,Femi Ahmed,Biology,8,BSc,20
S25,Efe Ahmed,Female,09/03/2004,17,Delta,Urban,False,SS3,Irregular,05/05/2021,Absent,Illness,Drama,Member,3,Negative,P25,,Farmer,Housewife,104636,High,English,50,C,Satisfactory,Mock exam ,True,21.0,False,True,T25,Emeka Okafor,Biology,5,MSc,23
S26,Chinedu Idowu,Male,23/02/2005,17,Ogun,Urban,False,SS3,Regular,06/05/2021,Absent,Illness,Music,Leader,3,Negative,P26,Secondary,Civil Servant,Teacher,174404,Low,Mathematics,93,A,Excellent,School Exam ,False,16.0,True,True,T26,Aisha Adewale,Physics,9,NCE,29
S27,Ngozi Ahmed,Male,02/05/2006,16,Kaduna,Urban,True,SS2,Irregular,07/05/2021,Absent,Family Responsibility,Debate,Member,2,Negative,P27,Secondary,Farmer,Teacher,142602,High,English,64,B,Satisfactory,Mock exam ,True,16.0,True,True,T27,Grace Okafor,Biology,8,BSc,31
S28,Fatima Adewale,Female,01/01/2007,17,Rivers,Rural,False,SS3,Regular,08/05/2021,Present,Illness,Football,Member,4,Positive,P28,,Trader,Housewife,130025,High,English,79,A,Excellent,School Exam ,True,18.0,False,True,T28,Aisha Adewale,Biology,8,BSc,14
S29,Ngozi Ogunleye,Male,05/02/2008,15,Borno,Rural,False,SS1,Irregular,09/05/2021,Absent,Financial,Drama,Member,2,Positive,P29,University,Civil Servant,Trader,78894,High,Physics,71,A,Excellent,Mock exam ,True,16.0,False,False,T29,Ngozi Ibrahim,Physics,6,NCE,13
S30,Efe Idowu,Male,26/01/2009,16,Rivers,Urban,False,SS3,Regular,10/05/2021,Present,Financial,Music,Member,3,Neutral,P30,,Trader,Teacher,111018,Moderate,Mathematics,58,C,Satisfactory,School Exam ,False,24.0,True,False,T30,Tunde Adewale,English,3,NCE,31
S31,isehunwa pius taiwo,Male,10/07/2000,16,Abuja,Rural,True,SS3,Irregular,11/05/2021,Present,Family Responsibility,Drama,Leader,3,Positive,P31,,Farmer,Civil Servant,118746,High,Physics,44,E,Needs Improvement,Mock exam ,,,,,T31,adeniyi femi ajiniyi,Biology,7,BSc,23
S32,micheal olorusaiye,Male,27/04/2001,16,Ekiti,Rural,True,SS2,Regular,12/05/2021,Absent,,Music,Member,3,Positive,P32,University,Farmer,Trader,118897,Moderate,English,58,C,Satisfactory,School Exam ,,,,,T32,akindele dare,English,2,NCE,23
S33,John Esther,Female,03/06/2002,16,Kaduna,Rural,True,SS3,Irregular,13/05/2021,Present,Family Responsibility,Music,Member,3,Negative,P33,Secondary,Farmer,Housewife,119048,Moderate,Mathematics,58,C,Satisfactory,Mock exam ,,,,,T33,eniolorunda kazeem,Mathematics,3,BSc,23
S34,mathew olorunsaiye,Male,19/04/2003,16,Kaduna,Urban,True,SS3,Irregular,14/05/2021,Absent,,Drama,Leader,3,Neutral,P34,University,Trader,Teacher,119199,Low,English,57,C,Satisfactory,School Exam ,,,,,T34,toluhi olorunmola,Physics,4,BSc,23
S35,moses joyce,Female,09/03/2004,16,Borno,Rural,False,SS1,Irregular,15/05/2021,Absent,,Debate,Leader,2,Negative,P35,University,Farmer,Civil Servant,119350,High,Mathematics,56,C,Satisfactory,Mock exam ,,,,,T35,obasiyan busayo racheal,English,4,BSc,23
S36,anthony megida,Female,23/02/2005,16,Kano,Urban,False,SS2,Irregular,16/05/2021,Absent,Illness,Music,Leader,2,Negative,P36,Secondary,Engineer,Civil Servant,119501,Low,English,56,C,Satisfactory,School Exam ,,,,,T36,lawal folashade grace,Biology,7,MSc,23
S37,umar hannah joy,Female,02/05/2006,16,Lagos,Urban,True,SS3,Irregular,17/05/2021,Present,Illness,Drama,Leader,2,Neutral,P37,University,Farmer,Civil Servant,119652,High,Physics,22,F,Needs Improvement,Mock exam ,,,,,T37,lawal faith oluwatosin,Biology,3,BSc,23
S38,samuel stephen ige,Male,01/01/2007,16,Kaduna,Urban,True,SS2,Irregular,18/05/2021,Absent,Family Responsibility,Drama,Member,2,Negative,P38,Primary,Civil Servant,Trader,119803,Moderate,Biology,54,C,Satisfactory,School Exam ,,,,,T38,yusuf remilekun saka,Biology,2,NCE,22
S39,arokoyo ojo emmanuel ,Male,05/02/2008,16,Lagos,Rural,True,SS2,Irregular,19/05/2021,Present,,Music,Member,2,Negative,P39,,Trader,Teacher,119954,High,Mathematics,12,F,Needs Improvement,Mock exam ,,,,,T39,dauda elizabeth,Physics,7,BSc,22
S40,omotosho .m. kayode,Male,26/01/2009,16,Rivers,Rural,True,SS3,Regular,20/05/2021,Present,Family Responsibility,Debate,Leader,2,Negative,P40,University,Farmer,Housewife,120105,Low,Physics,53,C,Satisfactory,School Exam ,,,,,T40,stehpen adebola,English,2,BSc,22
S41,Ojo joy,Female,10/07/2000,16,Yobe,Urban,True,SS3,Irregular,21/05/2021,Absent,,Music,Member,2,Negative,P41,University,Trader,Teacher,120256,Low,English,17,F,Needs Improvement,Mock exam ,,,,,T41,adadu ibrahim likisa,English,2,NCE,22
S42,olorungbemi amos adekunle,Male,27/04/2001,15,Yobe,Urban,True,SS2,Irregular,22/05/2021,Absent,,Drama,Leader,2,Negative,P42,University,Farmer,Trader,120407,High,Physics,52,C,Satisfactory,School Exam ,,,,,T42,alege omotayo abimbola,Biology,2,BSc,22
S43,omotosho seun omonale,Female,03/06/2002,15,Rivers,Urban,True,SS2,Regular,23/05/2021,Present,,Drama,Leader,2,Neutral,P43,,Trader,Teacher,120558,Moderate,Biology,18,F,Needs Improvement,Mock exam ,,,,,T43,ayanda bukola funmilayo,Mathematics,2,NCE,22
S44,francis o. omotosho,Male,19/04/2003,15,Borno,Rural,False,SS2,Regular,24/05/2021,Present,Family Responsibility,Music,Member,2,Negative,P44,University,Civil Servant,Civil Servant,120709,Low,English,51,C,Satisfactory,School Exam ,,,,,T44,dare niyi,Physics,3,MSc,22
S45,okuta emmanuel kayode,Male,09/03/2004,15,Lagos,Urban,True,SS2,Regular,25/05/2021,Present,Family Responsibility,Drama,Leader,2,Positive,P45,University,Farmer,Trader,120860,High,Physics,50,C,Satisfactory,Mock exam ,,,,,T45,folorunsho  kikelomo,Physics,4,BSc,21
S46,eniolorunda susan mulikat ,Male,23/02/2005,15,Abuja,Rural,False,SS2,Regular,26/05/2021,Present,Family Responsibility,Debate,Leader,2,Neutral,P46,Secondary,Trader,Teacher,121011,Low,Biology,49,C,Satisfactory,School Exam ,,,,,T46,olusaiye micheal ,Biology,4,NCE,21
S47,toluhi sayo,Female,02/05/2006,15,Lagos,Urban,False,SS3,Irregular,27/05/2021,Present,Financial,Debate,Member,2,Neutral,P47,Secondary,Engineer,Housewife,121162,Low,Mathematics,49,D,Needs Improvement,Mock exam ,,,,,T47,ajiboge  bosede,Biology,3,BSc,21
S48,francis s emmanuel,Male,01/01/2007,15,Kano,Urban,False,SS3,Irregular,28/05/2021,Absent,Illness,Football,Leader,2,Positive,P48,Primary,Civil Servant,Teacher,121313,High,English,48,D,Needs Improvement,School Exam ,,,,,T48,jaiyeola  shade,English,4,BSc,21
S49,ahmed eniolorunda,Male,05/02/2008,15,Rivers,Rural,True,SS3,Irregular,29/05/2021,Present,Illness,Football,Member,2,Positive,P49,Primary,Engineer,Teacher,121464,Low,Mathematics,47,D,Needs Improvement,Mock exam ,,,,,T49,olusaiye rebecca,English,5,BSc,21
S50,isehunwa j. sunday,Male,26/01/2009,15,Rivers,Urban,False,SS3,Irregular,30/05/2021,Absent,,Music,Leader,2,Negative,P50,Primary,Civil Servant,Teacher,121615,High,Biology,55,C,Satisfactory,School Exam ,,,,,T50,baki  hannah,Physics,6,BSc,21
